[SYS] 2023/09/10 - 01:41:59 | using fallback encoder for model claude-2 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model whisper-1 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model ERNIE-Bot-turbo 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model text-moderation-latest 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model embedding-bert-512-v1 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model Embedding-V1 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model text-embedding-v1 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model claude-instant-1 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model chatglm_pro 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model chatglm_lite 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model 360GPT_S2_V9.4 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model qwen-v1 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model 360GPT_S2_V9 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model semantic_similarity_s1_v1 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model chatglm_std 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model dall-e 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model PaLM-2 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model SparkDesk 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model embedding_s1_v1 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model text-moderation-stable 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model ERNIE-Bot 
[SYS] 2023/09/10 - 01:42:01 | using fallback encoder for model qwen-plus-v1 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model PaLM-2 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model 360GPT_S2_V9 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model chatglm_lite 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model text-moderation-stable 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model claude-2 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model whisper-1 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model semantic_similarity_s1_v1 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model qwen-plus-v1 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model text-embedding-v1 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model dall-e 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model qwen-v1 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model claude-instant-1 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model ERNIE-Bot 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model ERNIE-Bot-turbo 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model Embedding-V1 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model chatglm_pro 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model embedding_s1_v1 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model chatglm_std 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model SparkDesk 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model text-moderation-latest 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model embedding-bert-512-v1 
[SYS] 2023/09/10 - 01:42:41 | using fallback encoder for model 360GPT_S2_V9.4 
[SYS] 2023/09/10 - 01:54:23 | failed to send email: dial tcp :587: connect: connection refused 
[SYS] 2023/09/10 - 01:54:23 | failed to send email: dial tcp :587: connect: connection refused 
[SYS] 2023/09/10 - 01:55:14 | failed to send email: dial tcp :587: connect: connection refused 
[SYS] 2023/09/10 - 02:03:05 | relay error (channel #1): bad response status code 400 
[SYS] 2023/09/10 - 02:03:05 | relay error (channel #1): bad response status code 400 
[SYS] 2023/09/10 - 16:58:05 | using fallback encoder for model claude-2 
[SYS] 2023/09/10 - 16:58:05 | using fallback encoder for model ERNIE-Bot 
[SYS] 2023/09/10 - 16:58:10 | using fallback encoder for model text-moderation-stable 
[SYS] 2023/09/10 - 16:58:10 | using fallback encoder for model claude-instant-1 
[SYS] 2023/09/10 - 16:58:10 | using fallback encoder for model qwen-plus-v1 
[SYS] 2023/09/10 - 16:58:10 | using fallback encoder for model SparkDesk 
[SYS] 2023/09/10 - 16:58:10 | using fallback encoder for model 360GPT_S2_V9 
[SYS] 2023/09/10 - 16:58:10 | using fallback encoder for model embedding-bert-512-v1 
[SYS] 2023/09/10 - 16:58:10 | using fallback encoder for model ERNIE-Bot-turbo 
[SYS] 2023/09/10 - 16:58:10 | using fallback encoder for model chatglm_pro 
[SYS] 2023/09/10 - 16:58:10 | using fallback encoder for model chatglm_lite 
[SYS] 2023/09/10 - 16:58:10 | using fallback encoder for model semantic_similarity_s1_v1 
[SYS] 2023/09/10 - 16:58:10 | using fallback encoder for model 360GPT_S2_V9.4 
[SYS] 2023/09/10 - 16:58:10 | using fallback encoder for model text-moderation-latest 
[SYS] 2023/09/10 - 16:58:10 | using fallback encoder for model dall-e 
[SYS] 2023/09/10 - 16:58:10 | using fallback encoder for model PaLM-2 
[SYS] 2023/09/10 - 16:58:10 | using fallback encoder for model chatglm_std 
[SYS] 2023/09/10 - 16:58:10 | using fallback encoder for model qwen-v1 
[SYS] 2023/09/10 - 16:58:10 | using fallback encoder for model embedding_s1_v1 
[SYS] 2023/09/10 - 16:58:10 | using fallback encoder for model Embedding-V1 
[SYS] 2023/09/10 - 16:58:10 | using fallback encoder for model text-embedding-v1 
[SYS] 2023/09/10 - 16:58:10 | using fallback encoder for model whisper-1 
[SYS] 2023/09/10 - 19:26:22 | using fallback encoder for model chatglm_pro 
[SYS] 2023/09/10 - 19:26:22 | using fallback encoder for model chatglm_std 
[SYS] 2023/09/10 - 19:26:24 | using fallback encoder for model qwen-v1 
[SYS] 2023/09/10 - 19:26:24 | using fallback encoder for model qwen-plus-v1 
[SYS] 2023/09/10 - 19:26:24 | using fallback encoder for model 360GPT_S2_V9 
[SYS] 2023/09/10 - 19:26:24 | using fallback encoder for model semantic_similarity_s1_v1 
[SYS] 2023/09/10 - 19:26:24 | using fallback encoder for model claude-2 
[SYS] 2023/09/10 - 19:26:24 | using fallback encoder for model Embedding-V1 
[SYS] 2023/09/10 - 19:26:24 | using fallback encoder for model embedding-bert-512-v1 
[SYS] 2023/09/10 - 19:26:24 | using fallback encoder for model text-moderation-stable 
[SYS] 2023/09/10 - 19:26:24 | using fallback encoder for model embedding_s1_v1 
[SYS] 2023/09/10 - 19:26:24 | using fallback encoder for model 360GPT_S2_V9.4 
[SYS] 2023/09/10 - 19:26:24 | using fallback encoder for model whisper-1 
[SYS] 2023/09/10 - 19:26:24 | using fallback encoder for model text-moderation-latest 
[SYS] 2023/09/10 - 19:26:24 | using fallback encoder for model dall-e 
[SYS] 2023/09/10 - 19:26:24 | using fallback encoder for model text-embedding-v1 
[SYS] 2023/09/10 - 19:26:24 | using fallback encoder for model SparkDesk 
[SYS] 2023/09/10 - 19:26:24 | using fallback encoder for model PaLM-2 
[SYS] 2023/09/10 - 19:26:24 | using fallback encoder for model chatglm_lite 
[SYS] 2023/09/10 - 19:26:25 | using fallback encoder for model claude-instant-1 
[SYS] 2023/09/10 - 19:26:25 | using fallback encoder for model ERNIE-Bot 
[SYS] 2023/09/10 - 19:26:25 | using fallback encoder for model ERNIE-Bot-turbo 
